TestID,TrainID,"[m,b]","(x,y)",Prediction
84,1683,"[1, 0]","(train,test)",87960930222080
183,98611,"[1, -1]","(train,test)",136
287,1214,"[2662, 53218]","(train,test)",90486
331,130729,"[1, 0]","(train,test)",5802
405,1644,"[1, 0]","(train,test)",2333521433367183360
433,7470,"[2, 7]","(train,test)",139
454,11242,"[1, 0]","(train,test)",572204589843750
489,71548,"[2, 0]","(train,test)",626
529,58219,"[-1, 4]","(train,test)",2
548,54746,"[3, 0]","(test,train)",47681972428112.0
564,5544,"[1, 0]","(train,test)",7121453984059539456
626,6737,"[1, 1]","(train,test)",19
885,199029,"[1, 0]","(train,test)",95
919,1644,"[1, 0]","(train,test)",2333521433367183360
1045,184964,"[1, 0]","(train,test)",242
1060,126619,"[2, 0]","(train,test)",89900
1063,158533,"[1, -1]","(train,test)",114
1090,1644,"[1, 0]","(train,test)",2333521433367183360
1132,145073,"[1, 1]","(train,test)",1808
1264,155641,"[882, 1]","(train,test)",180234055
1356,100565,"[1, 0]","(train,test)",5
1386,88708,"[1, 1]","(train,test)",486
1396,71548,"[6, 1]","(train,test)",1609
1467,12262,"[1, 0]","(train,test)",525893003079214694400
1686,441,"[1, 1]","(train,test)",3582
1692,37421,"[1, 2]","(train,test)",191
1741,35169,"[1, 0]","(train,test)",0
1747,174332,"[4, 1]","(train,test)",1621
1783,195755,"[8, 9]","(train,test)",505
1791,223099,"[1, -1]","(train,test)",82
1886,58079,"[1, 5]","(train,test)",2505
1956,44272,"[1, 1]","(train,test)",4736694001644862
2027,123823,"[2, 0]","(train,test)",2147491838
2071,68786,"[2, 0]","(test,train)",175.0
2190,39368,"[3, 1]","(train,test)",258802713817
2253,108998,"[2, 1]","(train,test)",213
2330,192483,"[13, 0]","(train,test)",2873
2445,160182,"[1, 1]","(train,test)",102334151
2486,5544,"[1, 0]","(train,test)",7121453984059539456
2492,172252,"[256, 0]","(train,test)",72057594037927936
2554,24643,"[2, -2]","(test,train)",7784628225.0
2566,15478,"[3, 3]","(train,test)",22797790370746287
2621,1214,"[36, 693]","(train,test)",1701
2730,5669,"[1, 0]","(train,test)",104255099738019625697280
2756,59350,"[2, 1]","(train,test)",912492556939
2790,48891,"[5, -6]","(train,test)",77759
2808,48891,"[7, -7]","(train,test)",121296
2812,98272,"[2, 1]","(train,test)",13
2887,1683,"[1, 0]","(train,test)",87960930222080
2984,14452,"[5, 1]","(train,test)",87960930222081
3233,27803,"[4, -6]","(test,train)",1270932914166.0
3237,5228,"[1, 0]","(train,test)",94
3264,33233,"[2, 6]","(train,test)",1192
3509,1817,"[7, 0]","(train,test)",3758096384
3513,1214,"[76, 1470]","(train,test)",3370
3602,35848,"[1, -1]","(train,test)",184
3670,4259,"[2, -1]","(test,train)",76069501249.0
3703,189191,"[1, 5]","(train,test)",375299968947548
3758,2824,"[0, 4]","(train,test)",4
3764,35213,"[2, -1]","(train,test)",37
3895,66511,"[1, -1]","(train,test)",98287
3941,49123,"[1, 0]","(train,test)",121
3986,23291,"[1, 2]","(train,test)",551
4063,28990,"[1, 0]","(train,test)",27514634240000000000000
4084,167737,"[2, 0]","(test,train)",604384.0
4107,12262,"[1, 0]","(train,test)",525893003079214694400
4110,140019,"[2, 0]","(train,test)",8192
4147,56136,"[-1, 2]","(train,test)",-1906399371246
4169,21874,"[1, 101000]","(train,test)",101039
4184,221549,"[1, 1]","(train,test)",1790744248612872
4199,93288,"[3, 2]","(train,test)",134
4232,24336,"[1, 0]","(train,test)",351829430966702353416192
4276,118547,"[3, 0]","(test,train)",2.0
4279,1182,"[3, -13]","(train,test)",1199
4301,21345,"[1, 2187]","(train,test)",2707
4328,8028,"[1, 0]","(train,test)",13027308783283592
4362,119676,"[2, 0]","(train,test)",2478770
4371,200268,"[-1, 1]","(train,test)",1
4459,179787,"[1, 0]","(train,test)",266463804
4478,176041,"[3, 0]","(test,train)",4.0
4489,194169,"[1, -2]","(train,test)",1
4533,42010,"[4, 4]","(train,test)",46912512895660
4558,183283,"[1, -1]","(train,test)",1270899359732
4606,175821,"[1, 1]","(train,test)",1271000023029
4796,3587,"[1, 0]","(train,test)",1741769316989023076352
4856,75036,"[3, 1]","(test,train)",7330077518506.0
4881,85841,"[1, 2]","(train,test)",84
5030,32247,"[1, -1]","(train,test)",38982
5172,67800,"[1, 2]","(train,test)",2833906685
5209,36179,"[1, -2]","(train,test)",7
5219,219721,"[1, -1]","(train,test)",136
5298,12262,"[1, 0]","(train,test)",525893003079214694400
5302,25876,"[2, 0]","(train,test)",35184380477440
5326,28412,"[1, 0]","(train,test)",162129586585337820
5335,217098,"[1, -1]","(train,test)",136
5425,215655,"[2, 1]","(train,test)",92358976733185
5441,94457,"[2, 0]","(test,train)",4.253529586511731e+37
5465,210006,"[5, 0]","(train,test)",599995
5573,33109,"[1, 1]","(train,test)",367
5626,51073,"[1, 0]","(train,test)",180
5633,20697,"[1, 2]","(train,test)",8373808925585
5701,17770,"[1, 0]","(train,test)",6311523942644393705472
5725,183015,"[2, -1]","(train,test)",415
5772,33931,"[2, -1]","(train,test)",15
5827,1683,"[1, 0]","(train,test)",87960930222080
5875,138612,"[1, 0]","(train,test)",4473647
5909,120859,"[1, -1]","(train,test)",104910
5937,66213,"[1, -1]","(train,test)",197814
5980,12120,"[1, 0]","(train,test)",34406400000000000000
5984,38144,"[1, 5]","(train,test)",277
6029,89545,"[1, 0]","(train,test)",55
6032,148665,"[1, 1]","(train,test)",99
6070,126022,"[9, 0]","(train,test)",27
6088,134782,"[-1, 2]","(train,test)",2
6129,963,"[5000, 80000]","(train,test)",2600000
6188,87428,"[3, 0]","(test,train)",141215033961.0
6192,161625,"[65536, 0]","(train,test)",117033789351264256
6212,3587,"[1, 0]","(train,test)",1741769316989023076352
6219,54479,"[2, 0]","(train,test)",15034034
6244,93506,"[14, -14]","(train,test)",802788
6295,5966,"[1, 0]","(train,test)",19599665578316398592
6296,212653,"[2, -1]","(train,test)",585
6359,366,"[3, 4]","(train,test)",256
6379,47143,"[1, -1]","(train,test)",48108
6436,1182,"[3, 9]","(train,test)",1197
6441,26390,"[1, -3]","(train,test)",144946915
6451,138422,"[-7, 15]","(test,train)",-2.316136951219112e+16
6567,178023,"[2, 0]","(train,test)",310
6604,118447,"[1, -1]","(train,test)",6
6608,172560,"[1, -2]","(train,test)",1475
6625,27587,"[1, 0]","(train,test)",4265518180073472
6669,5841,"[2, 41]","(test,train)",134234110.0
6717,99362,"[127, 0]","(train,test)",854570808
6766,24675,"[1, 1]","(train,test)",71
6818,1214,"[28, 540]","(train,test)",1380
6849,212952,"[1, 2]","(train,test)",230953033
6864,1997,"[1, -1]","(train,test)",10890
6880,12120,"[1, 0]","(train,test)",34406400000000000000
6882,963,"[45, 721]","(train,test)",31501
